experience,performance_score
7.8,65.83
19.04,84.82
14.77,90.26
12.17,77.51
3.54,46.95
3.54,58.01
1.63,49.95
17.39,89.04
12.22,70.48
14.31,78.05
0.9,54.32
19.41,93.15
16.73,77.46
4.64,57.61
4.05,55.73
4.08,54.89
6.43,71.69
10.73,73.48
8.92,61.54
6.18,66.95
12.43,85.47
3.22,61.6
6.2,54.8
7.64,62.86
9.39,75.11
15.81,78.08
4.39,61.0
10.53,74.93
12.05,69.47
1.41,52.52
12.35,58.49
3.83,52.54
1.77,52.28
19.0,81.76
19.33,96.82
16.26,75.37
6.44,60.68
2.4,55.45
13.84,84.89
9.08,60.98
2.88,61.58
10.16,70.37
1.17,47.43
18.23,88.77
5.55,62.1
13.42,73.84
6.58,63.51
10.64,69.35
11.16,72.89
4.1,61.51
19.41,96.75
15.62,75.05
18.82,98.31
17.95,76.14
12.16,73.56
18.48,89.9
2.23,55.86
4.32,55.53
1.38,51.72
6.84,61.21
8.08,63.21
5.79,65.83
16.66,85.11
7.46,61.46
5.98,66.46
11.08,73.7
3.25,60.56
16.14,85.43
1.95,49.76
19.74,86.68
15.56,84.86
4.37,61.79
0.61,51.12
16.4,83.39
14.28,84.95
14.72,76.48
15.54,83.82
1.94,52.87
7.49,63.89
2.76,61.01
17.33,88.79
12.65,79.37
6.95,70.43
1.74,53.59
6.56,66.53
6.84,62.13
14.73,81.08
12.93,75.21
17.8,86.08
9.71,72.4
2.83,51.57
14.41,89.28
15.34,75.65
11.44,66.81
15.53,86.85
10.13,74.22
10.69,74.5
8.84,70.82
1.0,51.94
2.6,50.71
1.11,52.6
12.91,72.43
6.63,68.14
10.42,70.1
18.2,82.27
5.36,59.11
8.5,69.06
15.23,77.64
4.96,55.81
2.0,55.22
6.15,63.52
3.64,54.75
18.63,84.9
16.26,83.68
12.85,68.46
17.49,77.94
16.17,78.75
4.14,57.21
17.9,87.35
11.02,79.42
16.25,86.79
17.97,85.14
6.7,63.3
2.65,50.29
4.94,59.79
8.83,66.22
16.45,84.51
17.28,80.42
0.64,53.88
10.46,78.58
8.64,66.74
4.83,61.67
2.84,59.13
7.08,62.15
18.89,88.9
6.8,63.66
10.62,71.73
14.21,74.55
7.59,65.3
19.45,91.39
19.27,95.8
5.41,65.62
10.2,81.17
6.37,58.9
6.05,66.46
1.22,53.36
12.39,85.73
10.3,66.56
1.5,48.8
5.93,58.86
18.21,75.8
5.17,57.71
3.33,52.86
10.04,70.83
19.72,91.15
5.22,69.82
13.61,81.97
15.35,77.82
5.13,55.77
14.7,81.86
7.67,58.74
12.83,84.82
12.85,81.6
10.95,69.55
2.26,45.95
16.79,90.35
6.76,62.95
4.14,64.47
1.3,44.63
12.02,71.04
13.71,77.45
0.82,51.87
10.49,68.73
4.92,62.95
13.08,70.82
3.9,57.09
13.97,78.54
8.04,68.65
18.77,91.1
3.18,50.74
7.15,56.63
2.71,61.81
18.53,88.72
17.61,81.48
5.53,68.82
13.37,77.32
16.44,88.78
11.33,73.0
10.83,81.96
5.22,69.22
2.32,53.4
18.0,90.86
18.06,89.35
12.85,82.54
7.11,59.4
7.31,68.05
14.66,84.61
17.99,77.19
17.8,79.68
15.71,71.22
13.02,74.69
2.14,57.87
3.65,64.81
18.02,86.41
12.33,82.8
0.68,44.46
2.48,46.44
13.44,76.6
0.6,53.12
3.64,57.12
11.2,62.06
13.99,77.53
13.21,69.9
4.87,63.09
14.39,80.61
5.13,55.56
6.85,61.13
15.06,74.82
13.17,76.03
17.06,88.9
13.32,71.71
11.58,75.68
2.33,52.01
7.67,61.38
5.67,60.8
5.26,55.34
19.47,86.17
8.17,60.35
17.89,95.6
12.81,75.8
16.0,78.5
10.3,71.67
11.75,72.94
10.1,69.1
4.31,61.69
14.59,82.97
5.98,59.31
0.97,49.06
13.09,74.8
3.95,46.39
18.84,80.1
19.1,95.03
18.34,94.9
7.72,64.19
0.8,54.48
18.6,88.76
8.85,83.09
19.35,94.3
19.29,87.94
17.13,79.48
6.24,54.45
8.01,67.04
17.1,80.42
6.68,56.25
3.81,54.39
11.36,67.31
18.76,95.96
14.07,82.55
11.62,73.2
2.39,62.18
12.49,75.37
19.81,85.31
3.23,64.08
10.61,73.91
17.61,80.03
14.94,78.93
14.09,73.8
14.2,71.49
7.51,69.65
6.23,72.01
16.28,75.57
16.3,85.41
17.41,81.57
18.31,84.18
10.47,67.98
10.28,66.24
16.07,82.38
13.17,72.19
14.19,79.73
16.02,81.79
17.86,84.53
7.09,59.64
7.82,62.76
2.33,58.44
11.78,76.06
1.2,47.51
9.58,69.66
11.08,75.92
6.09,53.83
12.02,76.76
1.09,48.87
1.23,55.31
16.54,79.26
7.52,56.02
2.98,47.82
10.68,71.6
15.51,82.32
4.71,54.9
12.65,78.49
2.16,46.01
