study_hours,experience_years,projects_completed,performance_score
4.37,0.78,5,18.98
9.56,7.97,18,71.05
7.59,8.11,10,48.12
6.39,9.56,6,35.95
2.4,10.89,1,22.7
2.4,14.64,5,44.8
1.52,7.74,9,45.45
8.8,4.84,12,54.79
6.41,11.93,14,70.56
7.37,4.06,2,30.23
1.19,6.58,17,39.19
9.73,1.18,14,62.46
8.49,0.38,13,53.21
2.91,14.44,9,57.48
2.64,12.54,15,49.06
2.65,10.44,15,67.59
3.74,6.13,11,50.37
5.72,2.6,16,52.97
4.89,2.35,17,50.7
3.62,3.75,4,20.91
6.51,8.24,1,34.44
2.26,10.72,8,37.94
3.63,9.9,17,62.31
4.3,4.2,3,23.73
5.1,14.32,15,73.85
8.07,11.07,15,71.44
2.8,8.32,14,47.6
5.63,9.18,14,63.78
6.33,6.29,2,24.31
1.42,3.72,13,37.54
6.47,5.34,14,55.55
2.53,11.37,19,55.59
1.59,0.22,7,10.56
9.54,1.74,3,42.28
9.69,0.69,15,64.92
8.28,0.61,14,54.62
3.74,12.83,11,61.05
1.88,10.55,15,53.67
7.16,7.11,13,64.39
4.96,1.47,18,55.19
2.1,7.37,6,27.98
5.46,7.1,3,27.74
1.31,2.6,19,42.81
9.18,6.51,15,66.02
3.33,5.98,5,35.78
6.96,9.24,10,58.59
3.81,9.53,7,41.38
5.68,0.68,17,56.41
5.92,5.62,7,42.83
2.66,9.39,12,47.37
9.73,7.55,17,67.02
7.98,12.85,13,74.91
9.46,9.88,4,48.91
9.05,2.44,10,56.25
6.38,1.06,3,32.66
9.3,9.64,9,57.01
1.8,0.4,13,36.75
2.76,8.79,18,55.66
1.41,14.1,15,53.6
3.93,8.63,4,34.02
4.5,5.82,15,53.65
3.44,9.65,2,28.99
8.46,6.87,15,59.01
4.21,8.18,8,40.29
3.53,14.12,8,59.16
5.88,5.79,17,46.4
2.27,14.42,12,56.79
8.22,13.58,19,88.32
1.67,2.94,10,22.63
9.88,1.04,9,46.85
7.95,1.51,5,31.11
2.79,0.27,6,30.04
1.05,1.42,2,14.8
8.34,10.25,13,72.15
7.36,1.07,6,36.29
7.56,4.78,5,46.41
7.94,12.67,1,44.78
1.67,0.35,6,24.33
4.23,12.22,6,42.28
2.04,4.23,16,41.07
8.77,1.77,4,46.02
6.61,10.45,11,57.4
3.98,9.43,9,39.59
1.57,13.16,3,25.9
3.8,11.03,19,61.41
3.93,12.05,8,50.09
7.57,4.23,5,38.56
6.74,2.66,4,43.7
8.98,11.26,6,61.76
5.25,12.1,2,39.19
2.08,14.86,11,57.55
7.42,6.19,4,37.07
7.85,5.58,15,52.65
6.05,11.65,6,42.68
7.94,5.11,17,66.22
5.44,13.96,6,48.15
5.7,12.88,19,78.54
4.85,6.43,2,27.57
1.23,11.26,15,54.32
1.97,11.32,11,52.39
1.28,1.55,8,21.53
6.73,13.54,19,81.28
3.83,7.58,13,40.09
5.58,12.4,12,58.72
9.17,4.8,5,38.55
3.24,13.43,6,42.59
4.69,5.84,4,32.01
7.8,0.16,19,62.8
3.06,13.58,1,29.15
1.69,1.37,17,52.62
3.61,4.79,12,35.67
2.45,14.25,15,52.08
9.37,14.26,1,59.77
8.27,8.6,14,62.19
6.7,9.48,6,41.6
8.84,6.73,5,58.13
8.23,4.4,11,58.22
2.68,4.93,4,20.46
9.03,10.09,13,69.31
5.85,11.29,11,66.21
8.27,11.87,3,52.07
9.06,11.84,1,53.37
3.86,1.37,6,29.66
1.99,7.42,18,57.75
3.05,0.86,10,30.64
4.84,8.24,5,36.94
8.36,6.62,10,56.35
8.75,13.32,12,73.9
1.06,5.26,2,13.65
5.6,1.76,13,46.05
4.76,2.14,8,31.94
3.0,11.42,2,30.71
2.08,9.27,1,15.89
4.04,1.52,5,37.43
9.49,1.26,9,44.7
3.91,10.51,17,59.69
5.67,1.09,9,32.55
7.33,12.33,11,65.56
4.27,10.59,15,57.71
9.75,1.22,6,38.26
9.66,1.27,3,40.17
3.27,14.8,17,69.97
5.48,5.61,5,34.52
3.71,5.56,12,40.15
3.56,12.19,18,75.92
1.33,14.21,14,55.01
6.49,14.79,11,57.28
5.52,11.3,9,58.58
1.46,5.64,2,12.56
3.51,1.25,12,50.11
9.17,11.66,3,51.4
3.16,8.38,3,33.12
2.3,6.36,1,8.04
5.41,13.6,8,46.21
9.87,1.67,8,54.78
3.18,7.39,11,44.21
7.05,0.17,9,49.62
7.85,7.03,5,46.52
3.14,0.84,14,39.41
7.55,1.78,3,39.89
4.31,1.76,5,30.62
6.69,9.74,5,43.7
6.7,11.19,19,69.41
5.82,8.75,14,46.73
1.81,14.43,4,32.89
8.52,5.62,13,54.06
3.89,4.29,10,51.09
2.68,13.03,18,60.33
1.37,3.35,8,21.75
6.32,14.45,8,49.03
7.1,0.18,7,34.24
1.15,14.55,8,37.95
5.61,0.65,14,54.49
3.04,13.37,19,68.02
6.81,7.92,6,44.27
2.57,14.89,1,31.37
7.22,1.11,15,57.26
4.48,8.31,1,25.64
9.43,14.54,17,87.44
2.24,7.85,1,28.56
4.07,9.44,15,58.67
2.02,10.44,2,24.47
9.32,6.82,14,61.42
8.9,9.41,8,55.44
3.32,8.76,8,41.92
6.94,13.52,19,71.44
8.35,0.68,7,44.23
6.0,4.21,19,63.35
5.77,14.26,6,49.95
3.18,13.35,6,38.27
1.84,6.83,3,19.38
9.07,9.3,7,58.15
9.1,4.16,19,70.9
6.7,2.82,8,37.82
4.05,6.96,10,44.93
4.14,5.3,15,52.91
7.53,8.75,15,59.47
9.07,1.17,1,33.82
8.98,14.62,7,75.38
8.02,14.79,4,56.59
6.78,10.47,6,39.55
1.76,8.04,1,20.23
2.45,4.64,5,15.16
9.09,12.21,1,63.42
6.46,10.27,4,53.96
1.08,2.44,2,7.57
1.91,13.66,10,34.99
6.97,12.34,5,45.03
1.05,14.25,10,43.62
2.45,10.89,1,16.88
5.94,9.2,6,43.27
7.23,6.27,13,56.16
6.87,13.99,15,72.22
3.02,12.99,4,37.69
7.41,0.68,13,44.42
3.14,0.4,15,35.75
3.93,5.65,8,36.49
7.72,12.16,5,48.25
6.85,14.81,15,77.3
8.64,2.26,4,37.49
6.92,8.91,12,67.45
6.11,5.71,13,57.0
1.84,14.55,2,36.86
4.31,12.63,19,70.54
3.39,12.57,19,67.81
3.2,7.03,4,36.8
9.76,6.22,4,44.72
4.54,4.1,11,44.5
9.03,0.85,5,37.03
6.68,12.97,11,60.15
8.15,12.19,10,56.89
5.52,15.0,8,51.35
6.19,14.95,6,48.35
5.43,8.33,6,43.76
2.76,11.53,8,46.78
7.5,14.17,15,73.28
3.53,12.74,14,58.85
1.22,3.71,11,30.46
6.81,6.76,12,50.52
2.59,1.94,13,40.99
9.46,14.31,8,69.11
9.59,9.09,18,68.94
9.23,3.43,1,33.42
4.33,10.08,15,53.7
1.14,9.27,8,31.37
9.35,5.37,11,54.75
4.85,1.7,12,40.87
9.7,10.07,12,66.56
9.67,7.8,4,46.95
8.68,11.58,16,80.95
3.65,7.8,4,33.44
4.47,12.78,5,39.06
8.66,8.28,5,45.62
3.85,8.41,8,42.62
2.53,13.15,10,49.77
6.01,6.05,17,58.09
9.43,2.01,9,48.14
7.26,0.43,19,69.66
6.13,11.33,14,60.45
1.87,9.3,8,45.11
6.54,10.56,9,58.98
9.91,3.19,11,65.14
2.26,2.05,1,8.71
5.66,0.22,14,44.47
8.9,5.26,5,42.34
7.67,8.85,14,69.92
7.27,5.88,4,35.79
7.32,6.56,1,37.46
4.24,13.56,19,74.45
3.64,5.22,8,34.51
8.28,7.71,15,72.9
8.29,11.75,15,73.03
8.8,5.95,9,57.5
9.22,9.33,9,57.18
5.6,12.94,10,52.59
5.51,14.24,9,59.55
8.18,2.21,3,36.01
6.85,13.9,11,64.62
7.32,7.38,6,43.31
8.16,3.87,2,42.03
9.01,6.89,7,45.78
4.04,14.7,18,64.31
4.38,7.39,2,32.94
1.85,4.93,17,51.25
6.2,9.5,11,56.62
1.32,3.6,12,31.92
5.19,1.14,19,57.79
5.88,1.93,7,43.14
3.58,1.92,6,38.2
6.32,2.28,1,16.1
1.27,2.08,17,38.84
1.34,9.61,11,38.03
8.4,2.73,18,73.43
4.24,5.19,17,42.1
2.14,13.45,7,43.16
5.7,7.11,17,60.48
7.93,10.01,9,65.0
2.94,2.58,17,54.2
6.61,2.88,8,41.98
1.77,0.61,17,32.33
